id;title;description;sort_order;course_id
1;stabilise;../fake-data/blob/hipster.txt;32657;1
2;with beneath crumble;../fake-data/blob/hipster.txt;18441;2
3;off;../fake-data/blob/hipster.txt;1866;3
4;which grimy;../fake-data/blob/hipster.txt;16837;4
5;technician our;../fake-data/blob/hipster.txt;22342;5
6;roughly for;../fake-data/blob/hipster.txt;5785;6
7;wry;../fake-data/blob/hipster.txt;9148;7
8;meh athwart but;../fake-data/blob/hipster.txt;28772;8
9;outside;../fake-data/blob/hipster.txt;16355;9
10;starboard;../fake-data/blob/hipster.txt;20053;10
11;hot;../fake-data/blob/hipster.txt;22554;11
12;gracefully railway;../fake-data/blob/hipster.txt;23564;12
13;gah pleasant;../fake-data/blob/hipster.txt;25914;13
14;pfft rewarding spattering;../fake-data/blob/hipster.txt;10359;14
15;lined;../fake-data/blob/hipster.txt;24604;15
16;vaguely pleasant;../fake-data/blob/hipster.txt;26518;16
17;requite warped;../fake-data/blob/hipster.txt;15288;17
18;at why;../fake-data/blob/hipster.txt;27924;18
19;fondly;../fake-data/blob/hipster.txt;504;19
20;ski;../fake-data/blob/hipster.txt;15356;20
21;minor;../fake-data/blob/hipster.txt;18020;21
22;gosh engender;../fake-data/blob/hipster.txt;639;22
23;taut;../fake-data/blob/hipster.txt;8860;23
24;almost;../fake-data/blob/hipster.txt;25761;24
25;arrogantly trek;../fake-data/blob/hipster.txt;1176;25
26;dramatize;../fake-data/blob/hipster.txt;31363;26
27;qua;../fake-data/blob/hipster.txt;4859;27
28;how char;../fake-data/blob/hipster.txt;20176;28
29;federate jealously;../fake-data/blob/hipster.txt;11359;29
30;offensively;../fake-data/blob/hipster.txt;25286;30
