id;code;title;slug;description;price;discount_price;thumbnail_url;level;is_published;total_duration_seconds;total_lessons;created_at;updated_at
1;considering misguided confide;reconsideration;ick;../fake-data/blob/hipster.txt;8231.77;31768.51;whoa;INTERMEDIATE;true;22529;30284;2023-12-08T23:11:41;2023-12-09T06:12:37
2;babushka dusk defiantly;ick however apropos;probate;../fake-data/blob/hipster.txt;4875.3;5847.5;defiantly until;BEGINNER;false;19622;31057;2023-12-08T20:21:23;2023-12-09T03:16:01
3;if jubilant kettledrum;heavily actually;modulo finally approach;../fake-data/blob/hipster.txt;20550.19;14734.15;which ceramic meanwhile;ALL_LEVELS;true;7502;25232;2023-12-09T14:46:31;2023-12-08T18:39:05
4;airmail license mmm;persecute once;nervously;../fake-data/blob/hipster.txt;27142.26;20285.02;reporter;INTERMEDIATE;false;11697;10596;2023-12-08T22:07:17;2023-12-09T02:37:29
5;topsail quarrelsomely pantyhose;instead engender gah;late;../fake-data/blob/hipster.txt;23922.63;21897.28;nautical;ADVANCED;false;10693;25376;2023-12-09T14:57:01;2023-12-09T07:39:32
6;unless sans yippee;aboard ashamed;incidentally hole;../fake-data/blob/hipster.txt;19341.06;3393.25;cosset;ADVANCED;true;25954;25798;2023-12-09T07:36:19;2023-12-09T10:44:59
7;yippee;yahoo but foot;bench phony;../fake-data/blob/hipster.txt;29442.75;8982.07;aw whoa impure;INTERMEDIATE;true;26287;16308;2023-12-08T20:56:32;2023-12-09T16:41:56
8;fooey;familiarize;scheme likewise;../fake-data/blob/hipster.txt;20097.9;22731.59;failing livid;BEGINNER;false;31390;25686;2023-12-09T01:56:11;2023-12-08T22:25:55
9;daddy orient;randomize since;dock zowie longingly;../fake-data/blob/hipster.txt;3072.27;20994.02;lazily;INTERMEDIATE;true;19749;30489;2023-12-09T02:38:08;2023-12-09T15:23:05
10;lively meh embarrassment;rigidly blind;whether carpool;../fake-data/blob/hipster.txt;19030.31;31075.71;slowly incidentally afore;ADVANCED;false;6860;5003;2023-12-09T09:57:30;2023-12-08T20:39:37
11;yieldingly distinction;geez now woot;pfft gadzooks;../fake-data/blob/hipster.txt;23190.47;16521.23;perky allegation parody;ADVANCED;true;1389;10573;2023-12-09T05:19:26;2023-12-09T00:12:57
12;that down;extension upward;and;../fake-data/blob/hipster.txt;12228.97;17717.94;softly minister demob;ADVANCED;false;17643;19706;2023-12-09T15:12:57;2023-12-09T13:42:29
13;swerve;window whoever however;unnaturally;../fake-data/blob/hipster.txt;7026.03;27756.14;solvency qua;ADVANCED;true;8027;22526;2023-12-09T07:04:37;2023-12-09T09:14:52
14;really governance overcoat;bathhouse funny finally;annual eek;../fake-data/blob/hipster.txt;26299.14;9526.99;duffel;INTERMEDIATE;true;2293;22351;2023-12-09T00:16:41;2023-12-08T22:05:38
15;not unfinished upside-down;astonishing offensively;eggplant;../fake-data/blob/hipster.txt;10989.41;17245.53;ew phooey hundred;INTERMEDIATE;true;21844;22397;2023-12-09T00:33:06;2023-12-09T15:15:18
16;among now;lid;hourly wearily drat;../fake-data/blob/hipster.txt;7242.24;25680.15;bustling veto fatherly;BEGINNER;true;30972;2953;2023-12-08T20:35:47;2023-12-09T02:26:24
17;odd;amongst;department;../fake-data/blob/hipster.txt;29858.81;23964.4;keel accidentally integer;BEGINNER;true;22095;27255;2023-12-09T12:15:21;2023-12-08T20:10:05
18;what forenenst playfully;intrepid;boo;../fake-data/blob/hipster.txt;7601.44;2112.64;permafrost lighthearted;ADVANCED;false;29245;10792;2023-12-09T09:21:43;2023-12-09T09:37:05
19;helplessly switch;anenst castanet highly;recovery minus notwithstanding;../fake-data/blob/hipster.txt;6471.16;17471.47;so;BEGINNER;true;24791;5981;2023-12-09T08:37:56;2023-12-09T09:27:35
20;negotiation ultimately hoof;regulate ugh;huzzah;../fake-data/blob/hipster.txt;21073.76;13720.39;yahoo;ADVANCED;true;20591;28033;2023-12-09T05:08:21;2023-12-09T17:26:46
21;specific once;phew provision gee;yippee supposing dwell;../fake-data/blob/hipster.txt;1477.87;21123.07;instead;INTERMEDIATE;true;28162;1099;2023-12-09T09:25:43;2023-12-09T00:22:06
22;above tenant rewrite;against;lock;../fake-data/blob/hipster.txt;1921.67;10080.46;instruction cleverly as;INTERMEDIATE;true;14087;2893;2023-12-09T12:57:54;2023-12-09T04:56:33
23;best-seller;present;versus pick jaunty;../fake-data/blob/hipster.txt;9968.08;14870.57;greedily wrongly;ALL_LEVELS;true;2432;21817;2023-12-09T12:55:57;2023-12-08T22:56:19
24;positively quarrelsomely;following productive if;forenenst coin;../fake-data/blob/hipster.txt;22929.15;3967.58;marvelous doing;ALL_LEVELS;false;17204;5755;2023-12-09T07:17:38;2023-12-09T08:48:40
25;pupil in;oof;er obediently;../fake-data/blob/hipster.txt;1816.85;19673.2;structure;INTERMEDIATE;true;671;20344;2023-12-09T07:45:56;2023-12-08T21:19:11
26;scientific;gripper buck;cemetery tune-up brave;../fake-data/blob/hipster.txt;25705.91;11510.39;pace wherever;BEGINNER;true;10758;22015;2023-12-09T12:50:01;2023-12-09T04:22:06
27;so;brr adolescent tightly;badly;../fake-data/blob/hipster.txt;12569.22;9385.19;peaceful grandiose hmph;INTERMEDIATE;true;22591;21035;2023-12-09T14:47:25;2023-12-08T21:12:27
28;gosh absent apropos;intrigue operating mindless;whoever separately;../fake-data/blob/hipster.txt;7414.85;19675.82;minus bah;INTERMEDIATE;false;25506;30238;2023-12-08T23:46:30;2023-12-09T07:06:05
29;modulo meanwhile;parody;supposing before;../fake-data/blob/hipster.txt;32234.17;17998.32;though anti handy;INTERMEDIATE;false;28365;23095;2023-12-09T10:11:57;2023-12-08T18:07:05
30;showy suburban fearless;excitedly grave shore;concerning;../fake-data/blob/hipster.txt;16120.42;3382.72;um except bob;INTERMEDIATE;true;25911;23019;2023-12-09T14:58:38;2023-12-09T13:43:18
