id;user_id;status;enrolled_at;expires_at;course_id
1;typewriter since;CANCELLED;2023-12-09T12:53:53;2023-12-09T02:57:19;1
2;rudely;CANCELLED;2023-12-09T00:14:46;2023-12-09T04:00:06;2
3;although notwithstanding;CANCELLED;2023-12-09T16:32:51;2023-12-09T05:49:36;3
4;unlike tightly yak;CANCELLED;2023-12-09T16:14:33;2023-12-09T07:48:05;4
5;surface yum amongst;ACTIVE;2023-12-09T16:04:38;2023-12-08T23:13:07;5
6;bowler;EXPIRED;2023-12-09T13:21:42;2023-12-09T13:45:12;6
7;unnaturally corrupt;ACTIVE;2023-12-09T05:16:26;2023-12-08T18:23:54;7
8;outlandish;CANCELLED;2023-12-08T23:59:08;2023-12-09T06:47:10;8
9;pleasant;CANCELLED;2023-12-09T14:17:44;2023-12-09T02:44:00;9
10;warmly;ACTIVE;2023-12-09T00:30:55;2023-12-08T22:00:12;10
11;whereas muffled with;CANCELLED;2023-12-08T23:28:57;2023-12-09T00:34:41;11
12;know duh gut;CANCELLED;2023-12-08T21:20:37;2023-12-09T07:49:51;12
13;pepper yippee;CANCELLED;2023-12-09T02:31:09;2023-12-08T19:01:23;13
14;burly citizen;EXPIRED;2023-12-09T16:59:55;2023-12-08T19:22:16;14
15;mesh per;CANCELLED;2023-12-08T21:52:38;2023-12-09T05:54:56;15
16;zowie unblinking until;CANCELLED;2023-12-09T02:14:52;2023-12-09T15:32:04;16
17;even yuck oily;EXPIRED;2023-12-09T15:05:01;2023-12-09T09:28:40;17
18;ack enthusiastically;ACTIVE;2023-12-08T20:48:35;2023-12-09T15:04:33;18
19;yum;EXPIRED;2023-12-09T05:43:25;2023-12-09T15:55:08;19
20;aw;ACTIVE;2023-12-09T04:37:55;2023-12-09T16:04:42;20
21;roughly veto;CANCELLED;2023-12-09T15:43:05;2023-12-09T16:04:41;21
22;yesterday consequently label;CANCELLED;2023-12-09T16:03:45;2023-12-09T13:58:31;22
23;hydrolyse mortise but;EXPIRED;2023-12-09T05:35:00;2023-12-09T09:32:25;23
24;though so treasure;CANCELLED;2023-12-09T03:00:51;2023-12-08T20:01:20;24
25;anneal fooey;ACTIVE;2023-12-08T20:06:09;2023-12-09T12:50:39;25
26;whose;CANCELLED;2023-12-08T21:40:18;2023-12-09T00:07:12;26
27;pish in;EXPIRED;2023-12-08T23:56:53;2023-12-09T11:33:57;27
28;meanwhile;EXPIRED;2023-12-09T02:49:19;2023-12-09T11:51:40;28
29;expense why sauerkraut;ACTIVE;2023-12-08T22:10:39;2023-12-09T12:30:03;29
30;till poetry;CANCELLED;2023-12-09T12:17:45;2023-12-09T13:08:29;30
