id;title;lesson_type;video_url;duration_seconds;document_url;content;is_free_preview;sort_order;chapter_id
1;whoa mmm shrilly;QUIZ;meh afore phooey;5745;lest couch gut;../fake-data/blob/hipster.txt;true;24560;1
2;gosh;DOCUMENT;wilderness;27998;nippy but mobilize;../fake-data/blob/hipster.txt;true;1707;2
3;wherever shallow hierarchy;DOCUMENT;politely;6874;boyfriend um;../fake-data/blob/hipster.txt;false;18129;3
4;wheel deserted;QUIZ;provision elderly;14177;well-off brand;../fake-data/blob/hipster.txt;true;15732;4
5;yet;VIDEO;indeed;15401;dismal bleak sleepily;../fake-data/blob/hipster.txt;false;5076;5
6;ick;VIDEO;kit per swordfish;19938;yieldingly coaxingly quarrel;../fake-data/blob/hipster.txt;false;5630;6
7;yet;DOCUMENT;yesterday;22603;pish graffiti pfft;../fake-data/blob/hipster.txt;true;2974;7
8;glider;DOCUMENT;shinny swiftly;4748;revitalise expansion;../fake-data/blob/hipster.txt;true;18942;8
9;boohoo bootleg;VIDEO;ack;15887;extent augment roughly;../fake-data/blob/hipster.txt;true;11183;9
10;wetly regarding;VIDEO;airman inasmuch along;18226;extension loosely;../fake-data/blob/hipster.txt;true;16055;10
11;towards unwilling;VIDEO;fantastic forager;23668;gosh slake pro;../fake-data/blob/hipster.txt;true;7219;11
12;burly inject;DOCUMENT;when;31820;bah till;../fake-data/blob/hipster.txt;true;5326;12
13;descendant;VIDEO;circa monocle;25919;tuxedo;../fake-data/blob/hipster.txt;true;25925;13
14;delightfully;DOCUMENT;continually joyful penalise;20878;as;../fake-data/blob/hipster.txt;true;21940;14
15;indeed;QUIZ;hm;14937;amongst midst;../fake-data/blob/hipster.txt;false;12020;15
16;er wherever;QUIZ;huzzah;14293;scale deliberately;../fake-data/blob/hipster.txt;false;28596;16
17;making crooked tail;DOCUMENT;whereas brr carelessly;27351;solder;../fake-data/blob/hipster.txt;true;22072;17
18;pfft by hm;VIDEO;excepting ah onto;22862;fervently instantly;../fake-data/blob/hipster.txt;true;4625;18
19;below;VIDEO;jaggedly;14538;deeply sushi before;../fake-data/blob/hipster.txt;false;24570;19
20;yippee object inhibit;VIDEO;huddle;25154;cassava;../fake-data/blob/hipster.txt;false;11933;20
21;elliptical indeed;QUIZ;repeatedly;733;yuck;../fake-data/blob/hipster.txt;false;17985;21
22;readily;QUIZ;stark gracefully relative;8771;save instead;../fake-data/blob/hipster.txt;true;723;22
23;supposing;DOCUMENT;flight far politely;21008;voluntarily;../fake-data/blob/hipster.txt;false;13865;23
24;wherever orientate cross-contamination;QUIZ;so;21646;over;../fake-data/blob/hipster.txt;false;16380;24
25;midst;QUIZ;knickers;20504;sediment majestic;../fake-data/blob/hipster.txt;false;17681;25
26;knickers loftily hm;VIDEO;expensive informal anti;14899;pillow gut;../fake-data/blob/hipster.txt;false;6005;26
27;consequently cardboard;VIDEO;gentle;12601;out;../fake-data/blob/hipster.txt;false;8074;27
28;hm both slime;DOCUMENT;upbeat;19500;cease;../fake-data/blob/hipster.txt;false;25618;28
29;aboard;QUIZ;foodstuffs rigid uh-huh;30405;a tough positively;../fake-data/blob/hipster.txt;false;27824;29
30;institute switchboard hmph;QUIZ;for task;30354;abaft righteously weary;../fake-data/blob/hipster.txt;true;21510;30
