id;user_id;is_completed;last_watched_second;completed_at;updated_at;lesson_id
1;precious lest correctly;true;3661;2023-12-09T11:19:27;2023-12-08T20:59:23;1
2;diligent;true;28047;2023-12-08T22:52:33;2023-12-08T21:43:39;2
3;courageous;false;21776;2023-12-09T09:00:26;2023-12-08T18:17:51;3
4;loyally aha upbeat;true;29059;2023-12-09T08:53:06;2023-12-09T01:37:29;4
5;of jell;false;5215;2023-12-09T02:08:54;2023-12-09T06:56:38;5
6;vista;false;27535;2023-12-09T06:15:19;2023-12-09T10:21:15;6
7;angelic;true;19213;2023-12-08T22:15:05;2023-12-09T09:52:00;7
8;which;true;13281;2023-12-08T20:32:29;2023-12-09T11:29:08;8
9;deliberately gripping stratify;false;6620;2023-12-08T21:19:29;2023-12-09T17:07:21;9
10;pfft strategy;false;19297;2023-12-09T09:06:15;2023-12-09T12:52:26;10
11;divine instead when;true;19594;2023-12-09T01:32:16;2023-12-09T00:19:23;11
12;override institutionalize instantly;true;30177;2023-12-09T02:09:28;2023-12-09T12:28:43;12
13;redevelop;false;22586;2023-12-09T06:17:10;2023-12-09T07:52:01;13
14;meanwhile correctly;true;25389;2023-12-09T03:38:03;2023-12-08T21:45:13;14
15;twin pace loyalty;false;2352;2023-12-09T10:38:22;2023-12-09T12:54:15;15
16;limping;true;25339;2023-12-08T20:32:27;2023-12-09T16:28:33;16
17;ecstatic that;false;21659;2023-12-09T07:53:06;2023-12-09T12:33:11;17
18;dearly;false;5988;2023-12-09T11:48:52;2023-12-09T16:14:26;18
19;unto an internalise;true;15962;2023-12-09T03:56:20;2023-12-09T14:39:17;19
20;worth tough as;true;13505;2023-12-09T10:58:14;2023-12-09T14:17:49;20
21;structure;false;20753;2023-12-09T07:45:44;2023-12-09T02:00:10;21
22;cuddly;false;14775;2023-12-09T13:37:20;2023-12-09T04:49:53;22
23;suspiciously ew;false;30872;2023-12-09T16:01:15;2023-12-08T18:08:20;23
24;strictly qua commodity;true;5003;2023-12-09T14:09:53;2023-12-09T16:28:37;24
25;across complication failing;true;2745;2023-12-08T20:34:03;2023-12-08T19:35:31;25
26;untidy how;false;28854;2023-12-09T17:38:14;2023-12-09T10:44:30;26
27;step who;false;789;2023-12-09T16:12:02;2023-12-08T22:31:20;27
28;oxygenate badly boo;true;2601;2023-12-08T22:58:46;2023-12-08T22:25:49;28
29;ha before;false;29891;2023-12-09T07:48:34;2023-12-09T09:31:42;29
30;an gray;true;10032;2023-12-09T10:21:32;2023-12-09T11:02:28;30
