id;code;title;category;duration_minutes;total_questions;audio_full_url;is_published;created_at
1;worth ah off;quicker;MINI_TEST;5298;8897;besides;true;2023-12-17T02:55:46
2;aggravating whose;gadzooks;MINI_TEST;10520;8932;willow aside;false;2023-12-17T17:32:33
3;adventurously carefree meh;furiously;FULL_TEST;20251;4127;helpless abnormally upside-down;false;2023-12-17T20:26:03
4;busily possession bravely;tedious consequently what;FULL_TEST;8859;16194;cleverly tapioca wherever;true;2023-12-17T03:22:49
5;accidentally;if grumpy however;PRACTICE_PART;13208;16927;beyond;false;2023-12-18T01:25:35
6;webbed;expense monasticism;FULL_TEST;12692;16789;notwithstanding;false;2023-12-17T13:06:31
7;plastic whistle;authorized geez;FULL_TEST;7991;22802;pleasing tightly;false;2023-12-18T00:04:26
8;with ew or;opera;MINI_TEST;4316;11690;willfully vibraphone;false;2023-12-18T00:12:47
9;kindheartedly attribute fooey;phooey atrium publication;MINI_TEST;8919;26924;finally;true;2023-12-17T03:31:36
10;yawningly unfortunately;overcharge noisily;MINI_TEST;9046;9386;beyond progress;true;2023-12-17T04:55:29
11;yowza;except;PRACTICE_PART;9759;32459;arid scared probate;true;2023-12-17T08:15:50
12;marimba;er hourly athwart;PRACTICE_PART;1410;26532;quick-witted whose;false;2023-12-17T11:12:36
13;than wring;schlep apropos;FULL_TEST;20827;3544;annually hyphenation;false;2023-12-17T06:34:30
14;afore communicate;er like;PRACTICE_PART;165;28762;ack how;true;2023-12-17T15:05:09
15;off lawful huzzah;sternly;MINI_TEST;22645;14813;meanwhile;true;2023-12-17T21:50:58
16;voluntarily step;whereas quaver shore;PRACTICE_PART;10075;10430;pocket-watch hm begonia;false;2023-12-17T04:58:24
17;nervously heavily;crest;MINI_TEST;17823;24738;ah quaintly however;false;2023-12-17T13:52:59
18;knowingly;and boohoo aha;PRACTICE_PART;2360;11184;economise premise;true;2023-12-17T08:26:57
19;hierarchy task;jiggle;PRACTICE_PART;11884;29777;chime awareness;false;2023-12-17T04:09:06
20;geez;ragged though;MINI_TEST;9584;7423;below married;false;2023-12-17T02:01:40
21;frantically;cease;FULL_TEST;14007;1072;above boohoo;false;2023-12-17T13:49:47
22;aw pish including;lest woot;PRACTICE_PART;12247;10369;pale;true;2023-12-17T09:36:04
23;wire quick-witted till;as;MINI_TEST;9743;10874;bog subsidy;true;2023-12-18T00:32:08
24;spellcheck scar since;sarong what essential;FULL_TEST;8457;23797;fooey;false;2023-12-17T19:08:23
25;carefully er;instead loosely;MINI_TEST;28868;24529;up duh;true;2023-12-17T18:30:00
26;off aha;instead than availability;FULL_TEST;18795;15904;when basket;false;2023-12-17T07:31:14
27;glow;including neatly circa;FULL_TEST;10349;4718;unnecessarily brandish;false;2023-12-17T12:51:00
28;er;than;PRACTICE_PART;26335;18356;along from;false;2023-12-17T13:10:05
29;intermesh yippee;commonly stall uniform;FULL_TEST;30500;5631;amongst;true;2023-12-17T04:47:11
30;unto unnecessarily;boohoo;FULL_TEST;7749;15994;sternly;false;2023-12-17T07:54:51
