id;user_id;status;listening_score;reading_score;total_score;correct_answers;wrong_answers;skipped_answers;time_spent_seconds;started_at;completed_at;exam_id
1;whack smug boohoo;ABANDONED;182;316;233;1872;16684;15312;280;2023-12-17T19:49:35;2023-12-17T12:17:20;1
2;mostly if obediently;COMPLETED;233;298;458;17062;14717;3447;25183;2023-12-17T20:40:37;2023-12-17T05:56:12;2
3;infinite bare boyfriend;IN_PROGRESS;140;101;115;19914;10450;22106;29868;2023-12-17T15:41:48;2023-12-17T14:17:01;3
4;towards ack per;COMPLETED;144;24;243;31552;3116;3694;6710;2023-12-17T11:27:21;2023-12-17T12:20:16;4
5;sans alert;ABANDONED;82;451;432;28163;18653;8570;13305;2023-12-17T07:14:52;2023-12-17T22:16:14;5
6;aboard expatiate;IN_PROGRESS;244;204;652;20537;23911;7420;20944;2023-12-17T15:38:11;2023-12-17T23:39:46;6
7;mesh;ABANDONED;386;441;94;1750;3514;1192;35;2023-12-17T13:17:08;2023-12-17T21:57:08;7
8;nab including noxious;IN_PROGRESS;26;45;679;444;7217;1502;32414;2023-12-17T12:32:06;2023-12-17T04:03:24;8
9;lest excepting over;IN_PROGRESS;12;393;536;10317;13889;22156;19529;2023-12-17T18:19:14;2023-12-18T00:11:34;9
10;athwart lest innocently;IN_PROGRESS;39;124;367;31686;30015;23485;25226;2023-12-17T15:39:44;2023-12-17T15:05:10;10
11;quirkily;ABANDONED;219;478;765;20869;30138;29990;7462;2023-12-17T07:07:15;2023-12-18T00:15:03;11
12;cope;ABANDONED;127;471;691;18336;26287;2725;12494;2023-12-17T05:41:39;2023-12-18T00:52:07;12
13;spiteful because if;IN_PROGRESS;371;31;877;8980;29623;24601;17513;2023-12-17T20:18:32;2023-12-17T23:22:20;13
14;digestive likewise;COMPLETED;116;486;618;26497;5039;7332;923;2023-12-17T11:53:27;2023-12-17T09:09:10;14
15;hepatitis ouch apparatus;COMPLETED;243;260;639;1299;522;12556;1983;2023-12-18T00:23:23;2023-12-17T06:39:03;15
16;hexagon;IN_PROGRESS;444;312;700;10500;29487;1064;8563;2023-12-17T08:38:04;2023-12-17T17:46:35;16
17;shred;ABANDONED;362;493;827;27758;26123;16973;6402;2023-12-17T18:38:24;2023-12-17T16:50:34;17
18;yum generously agreeable;IN_PROGRESS;161;144;654;8619;11522;8513;8412;2023-12-17T16:07:50;2023-12-17T01:55:59;18
19;ick knight underneath;ABANDONED;167;377;305;22748;19864;23104;11081;2023-12-17T07:06:56;2023-12-17T16:29:34;19
20;cruel gently metal;COMPLETED;168;376;638;22290;10771;5723;22230;2023-12-17T02:05:20;2023-12-17T18:04:17;20
21;quickly pink;IN_PROGRESS;45;153;309;13276;8197;15905;28285;2023-12-17T17:30:41;2023-12-17T09:14:30;21
22;retrospectivity neat until;COMPLETED;308;404;243;19939;8472;11079;16232;2023-12-17T01:40:48;2023-12-17T01:59:30;22
23;vista;ABANDONED;178;23;651;12181;664;8144;25598;2023-12-17T17:42:59;2023-12-17T17:57:55;23
24;um;COMPLETED;114;258;742;31690;4068;9582;29225;2023-12-17T21:57:17;2023-12-17T06:08:00;24
25;furthermore ruddy;ABANDONED;466;418;426;19067;23683;3120;5796;2023-12-17T12:53:22;2023-12-17T18:11:47;25
26;vibrant joyfully inasmuch;IN_PROGRESS;347;407;757;4838;27134;8530;27060;2023-12-17T15:54:19;2023-12-17T08:16:58;26
27;bathrobe;COMPLETED;412;481;147;21285;25481;19348;24837;2023-12-17T07:01:56;2023-12-17T18:10:57;27
28;well-off;ABANDONED;288;422;359;16286;1708;11229;1161;2023-12-17T22:06:20;2023-12-17T14:34:15;28
29;pessimistic observe;ABANDONED;428;391;278;20288;10959;6570;5661;2023-12-17T18:48:06;2023-12-17T09:28:15;29
30;than syringe;IN_PROGRESS;262;439;961;21521;17306;15701;5211;2023-12-17T04:59:11;2023-12-17T20:44:55;30
