id;part_number;name;total_questions;exam_id
1;2;throughout fooey;8214;1
2;3;fondly throughout;17556;2
3;2;spark which from;12380;3
4;6;energetically worthwhile;12421;4
5;2;regarding;23444;5
6;7;yippee;5501;6
7;4;uh-huh;4173;7
8;3;neighboring unimpressively;25375;8
9;7;geez per consequently;30957;9
10;2;lox mature minor;13957;10
11;3;hungry;14835;11
12;1;roundabout wherever;1710;12
13;7;dime shyly proofread;21913;13
14;3;vaguely blah amendment;21655;14
15;4;yuck;13277;15
16;2;old-fashioned valley;18182;16
17;7;officially as;32465;17
18;7;until transparency;31563;18
19;4;ferociously;11407;19
20;1;instead;26047;20
21;4;perky continually;22682;21
22;5;lavish yet;29591;22
23;5;briskly vainly as;10555;23
24;3;supplier round;30293;24
25;5;absentmindedly;11556;25
26;2;hence freezing;318;26
27;2;towards fooey at;8761;27
28;4;versus per if;10541;28
29;6;supposing near powerfully;6472;29
30;3;as;9756;30
