id;selected_option;is_correct;time_spent_seconds;exam_attempt_id;question_id
1;C;false;12496;1;1
2;A;false;18293;2;2
3;C;false;6309;3;3
4;C;false;7289;4;4
5;C;false;16501;5;5
6;C;true;10195;6;6
7;C;true;12367;7;7
8;C;false;10755;8;8
9;C;true;17913;9;9
10;A;false;8131;10;10
11;C;false;29646;11;11
12;B;false;9578;12;12
13;A;false;23004;13;13
14;A;false;13125;14;14
15;C;true;1430;15;15
16;B;true;14711;16;16
17;C;false;3826;17;17
18;A;false;29946;18;18
19;B;false;12576;19;19
20;B;false;17869;20;20
21;A;false;24515;21;21
22;D;false;9143;22;22
23;D;false;419;23;23
24;A;true;8787;24;24
25;C;true;251;25;25
26;D;true;32098;26;26
27;A;false;16326;27;27
28;B;false;12021;28;28
29;B;false;28540;29;29
30;A;true;29303;30;30
