id;code;channel;subject;body_template;is_active;created_at;updated_at
1;incidentally hence;PUSH_NOTIFICATION;shudder lox;../fake-data/blob/hipster.txt;false;2023-12-11T00:23:28;2023-12-11T00:14:39
2;a obsess;SMS;rigid;../fake-data/blob/hipster.txt;true;2023-12-10T23:00:37;2023-12-11T03:10:06
3;meanwhile;SMS;duffel er upset;../fake-data/blob/hipster.txt;true;2023-12-11T08:38:39;2023-12-11T03:40:44
4;liberalize up;SMS;gah gee;../fake-data/blob/hipster.txt;false;2023-12-11T06:28:00;2023-12-11T16:19:40
5;surprise oh upon;SMS;yellowish yawningly;../fake-data/blob/hipster.txt;true;2023-12-11T01:16:37;2023-12-11T09:36:53
6;obediently fall;EMAIL;rag;../fake-data/blob/hipster.txt;false;2023-12-10T23:14:18;2023-12-10T18:32:26
7;slip climb;EMAIL;jell;../fake-data/blob/hipster.txt;false;2023-12-10T22:36:12;2023-12-10T22:49:06
8;pfft pure fully;PUSH_NOTIFICATION;bitter;../fake-data/blob/hipster.txt;false;2023-12-11T05:24:29;2023-12-11T05:04:14
9;personalise;IN_APP;cruelly between;../fake-data/blob/hipster.txt;true;2023-12-11T01:47:24;2023-12-10T18:42:44
10;but psst;IN_APP;sans if woefully;../fake-data/blob/hipster.txt;false;2023-12-10T17:36:19;2023-12-11T06:50:22
11;house;SMS;kindheartedly;../fake-data/blob/hipster.txt;true;2023-12-11T00:24:29;2023-12-10T22:10:12
12;tenant;EMAIL;blah sturdy;../fake-data/blob/hipster.txt;true;2023-12-11T08:55:19;2023-12-11T13:47:01
13;imaginary deadly geez;PUSH_NOTIFICATION;up and;../fake-data/blob/hipster.txt;false;2023-12-11T11:22:46;2023-12-10T17:59:48
14;never;IN_APP;zen mad though;../fake-data/blob/hipster.txt;true;2023-12-11T00:12:33;2023-12-10T21:30:54
15;hassle smoggy within;SMS;scarcely;../fake-data/blob/hipster.txt;true;2023-12-11T11:54:01;2023-12-11T10:02:51
16;runny;SMS;confused;../fake-data/blob/hipster.txt;true;2023-12-11T09:59:58;2023-12-11T13:48:12
17;gosh though;PUSH_NOTIFICATION;suddenly;../fake-data/blob/hipster.txt;true;2023-12-10T21:52:36;2023-12-11T00:21:47
18;snowplow;SMS;seriously;../fake-data/blob/hipster.txt;true;2023-12-11T01:49:38;2023-12-10T21:41:09
19;of;SMS;ah shoulder mmm;../fake-data/blob/hipster.txt;false;2023-12-10T20:40:12;2023-12-11T17:03:45
20;graft commonly;SMS;traffic;../fake-data/blob/hipster.txt;false;2023-12-11T15:31:37;2023-12-11T14:35:59
21;oval;SMS;sympathetically;../fake-data/blob/hipster.txt;true;2023-12-11T16:19:43;2023-12-11T00:05:52
22;blah icy;EMAIL;hm clamor;../fake-data/blob/hipster.txt;false;2023-12-10T17:51:02;2023-12-10T18:13:51
23;sizzle ah shudder;PUSH_NOTIFICATION;finally;../fake-data/blob/hipster.txt;true;2023-12-11T10:17:33;2023-12-11T14:55:42
24;sidetrack interviewer mysteriously;IN_APP;bouncy negligible;../fake-data/blob/hipster.txt;false;2023-12-11T04:04:25;2023-12-11T05:53:00
25;sudden knavishly hence;IN_APP;aha slake whereas;../fake-data/blob/hipster.txt;true;2023-12-11T07:18:43;2023-12-11T03:42:46
26;tough knickers;PUSH_NOTIFICATION;yum;../fake-data/blob/hipster.txt;true;2023-12-10T18:26:10;2023-12-10T19:42:08
27;mantua gah eek;PUSH_NOTIFICATION;corporation paintwork fooey;../fake-data/blob/hipster.txt;true;2023-12-11T03:10:56;2023-12-11T09:04:45
28;foretell gnash frantically;IN_APP;official;../fake-data/blob/hipster.txt;true;2023-12-10T23:27:34;2023-12-11T00:00:32
29;what squiggly demob;EMAIL;basket precedent;../fake-data/blob/hipster.txt;false;2023-12-11T14:26:12;2023-12-11T08:15:10
30;besides whoever noisily;EMAIL;breastplate lend;../fake-data/blob/hipster.txt;false;2023-12-11T10:00:11;2023-12-11T16:49:00
