id;order_code;user_id;subscription_id;amount;currency;gateway;gateway_trans_id;status;payment_url;ip_address;payment_time;created_at
1;on via whoever;swiftly;30136;29371.96;joyously p;MOMO;dissemble metal;CANCELLED;grouper quietly;aw;2023-12-08T11:28:23;2023-12-08T11:29:08
2;solidly;battle;27578;15544.91;although a;STRIPE;because for;REFUNDED;weighty publicity;meh couch;2023-12-08T01:58:00;2023-12-08T07:03:38
3;eek whether dearly;except yet;16865;15251.72;stake nect;VNPAY;upon since;SUCCESS;hm;anti hotfoot;2023-12-07T14:45:03;2023-12-07T20:54:06
4;short-term under stormy;kick submissive essence;15389;14113.52;alongside;ZALOPAY;whether zowie yum;SUCCESS;hyena behold;pfft under enthusiastically;2023-12-07T13:26:23;2023-12-07T12:43:53
5;hose;cross-contamination calculus aboard;20182;29249.51;strictly y;VNPAY;dearly;FAILED;norm splash;incidentally bore;2023-12-08T08:51:35;2023-12-08T03:59:57
6;throughout briskly over;dense neglect whoa;6503;3960.77;deploy;MOMO;harp instead unsightly;PENDING;duh accidentally;beside;2023-12-07T16:09:33;2023-12-07T12:42:33
7;along leading including;midst edge;31037;19731.21;exasperati;STRIPE;yuck;CANCELLED;after monster aha;yuck shrilly geez;2023-12-07T20:41:30;2023-12-07T18:05:39
8;although;conceptualize;18107;12783.64;chromakey ;BANK_TRANSFER;ha fooey psst;SUCCESS;yahoo timely yippee;affiliate;2023-12-07T14:58:40;2023-12-07T12:44:30
9;past;lumpy pip eek;15211;632.4;without;ZALOPAY;unkempt against;REFUNDED;corral bah;on burdensome;2023-12-08T09:33:43;2023-12-08T08:51:53
10;personal;greedy;5716;14980.68;brr intens;ZALOPAY;freight boring focalise;FAILED;cruelly;gee;2023-12-08T05:45:45;2023-12-08T05:01:31
11;yahoo;but whenever;1093;24278.29;ouch confi;ZALOPAY;lest uh-huh;REFUNDED;as bob via;evince consequently through;2023-12-08T06:14:17;2023-12-07T12:55:28
12;spanish hm;fraudster preregister miserably;28921;11974.48;scented;VNPAY;behind yippee duh;REFUNDED;corner with;awkwardly;2023-12-08T07:38:12;2023-12-07T19:40:39
13;crushing yum;tromp dispose;23382;31870.96;splendid s;ZALOPAY;athwart uncover;FAILED;pro but after;gee;2023-12-07T14:33:11;2023-12-08T07:07:33
14;aw unexpectedly filter;psst off feminize;17411;22061.31;whale offs;MOMO;anenst accessorise;PENDING;graft;toward;2023-12-07T18:21:03;2023-12-08T10:46:49
15;er quick-witted;a at;30932;21679.72;micromanag;VNPAY;majestically the;REFUNDED;promptly;shrilly;2023-12-07T17:42:16;2023-12-07T16:21:23
16;qua chromakey per;generally vein affect;13709;2627.03;forenenst ;ZALOPAY;optimistically diligently;SUCCESS;if;kit overvalue fooey;2023-12-08T04:19:01;2023-12-07T16:40:37
17;in-joke;defiantly brr;19539;8442.49;bungalow;VNPAY;legislature blah;REFUNDED;briskly;victoriously;2023-12-08T10:58:00;2023-12-08T03:12:15
18;hmph;acidic;26134;26051.9;minor fort;BANK_TRANSFER;pfft;PENDING;till;inquisitively zowie next;2023-12-08T09:56:45;2023-12-08T06:53:04
19;deduce sleepily;upliftingly;15411;3983.1;solder bar;STRIPE;representation off mmm;FAILED;kosher monasticism greatly;yippee beneath gleefully;2023-12-07T12:49:48;2023-12-07T18:01:18
20;co-producer;appertain;12365;19594.79;energetica;STRIPE;shy;PENDING;secret display traffic;descendant usefully deplore;2023-12-07T12:29:32;2023-12-08T11:26:18
21;necessary foolishly youthfully;aw jovially;5170;16932.41;qua gum;MOMO;rim;REFUNDED;allocation even stool;drug reconsideration;2023-12-07T19:36:39;2023-12-08T02:16:37
22;keel dampen;fax equally coal;28675;10507.28;bell unsel;STRIPE;from;PENDING;augment gigantic like;intrepid by;2023-12-07T11:39:18;2023-12-07T21:36:47
23;aw;phew possession birdcage;16853;27494.79;proliferat;MOMO;incomparable hydrolyse;SUCCESS;aha;that finally inasmuch;2023-12-08T09:08:00;2023-12-07T22:05:43
24;woot tuba;quaintly needily;21750;19174.8;brr fright;VNPAY;sandbar;FAILED;consequently scope;when;2023-12-08T00:44:27;2023-12-08T03:02:18
25;ew yet;tousle;10057;5042.95;gerbil lum;ZALOPAY;know;FAILED;why embody what;scuttle scram but;2023-12-07T21:08:17;2023-12-08T09:03:39
26;if mmm;provided indolent engender;25424;14268.23;greedily d;ZALOPAY;wrongly zowie;SUCCESS;till dreamily guilty;abaft poppy lest;2023-12-08T11:15:00;2023-12-08T02:28:24
27;kiddingly;drat apud hmph;18944;4829.74;so pick;ZALOPAY;granular softly;SUCCESS;account around;past validity;2023-12-08T04:58:27;2023-12-07T23:21:46
28;finally;bolster how finally;32093;31586.2;beautifull;BANK_TRANSFER;fiercely boohoo;CANCELLED;or as however;what;2023-12-07T16:51:09;2023-12-07T22:15:07
29;than yahoo usually;pish;7748;6536.81;accurate r;BANK_TRANSFER;along cornet athwart;CANCELLED;rationalise who;courageously yuck;2023-12-07T17:59:05;2023-12-07T20:26:15
30;while within;meanwhile shore;21268;19165.28;wherever;STRIPE;marksman governance everlasting;PENDING;whenever;serpentine obediently;2023-12-07T21:04:18;2023-12-07T21:19:57
