id;order_code;gateway;gateway_trans_id;amount;status;created_at
1;till;VNPAY;dependency;23854.35;SUCCESS;2023-12-21T00:52:06
2;except both mature;VNPAY;through bloom;6533.79;SUCCESS;2023-12-20T11:23:02
3;after yet supposing;MOMO;beside than furthermore;19651.08;SUCCESS;2023-12-20T16:44:41
4;cavernous overreact;MOMO;lest near second-hand;26697.58;FAILED;2023-12-21T00:41:31
5;beautifully tackle where;VNPAY;aside;25855.49;PENDING;2023-12-20T21:20:11
6;at;VNPAY;worth;32432.62;PENDING;2023-12-20T21:03:06
7;ack wherever;STRIPE;until drat if;14654.47;PENDING;2023-12-20T23:59:26
8;carefully whopping;VNPAY;zowie easily smoothly;4438.14;FAILED;2023-12-20T23:15:31
9;govern what;STRIPE;near astride;5230.41;SUCCESS;2023-12-20T05:31:37
10;zowie worthwhile pneumonia;VNPAY;little eek;16556.2;PENDING;2023-12-20T21:42:38
11;warm likewise;VNPAY;perfectly;31933.25;SUCCESS;2023-12-20T17:32:46
12;next;VNPAY;but kiss next;17357.56;PENDING;2023-12-20T20:01:20
13;once;VNPAY;innovate after ugh;2425.59;FAILED;2023-12-20T13:00:56
14;lovingly;MOMO;likely;20634.41;PENDING;2023-12-20T05:59:18
15;yuck allegation;MOMO;of sardonic;8443.4;FAILED;2023-12-21T01:49:16
16;devoted forenenst;VNPAY;during;7406.48;SUCCESS;2023-12-20T09:54:11
17;strictly;STRIPE;deserted;7673.38;FAILED;2023-12-20T14:58:28
18;fork;STRIPE;sometimes instead;17187.95;SUCCESS;2023-12-20T11:49:50
19;aw drat although;STRIPE;accept;15941.65;FAILED;2023-12-20T19:14:00
20;damp apologise tepid;VNPAY;gah on;17277.86;SUCCESS;2023-12-20T06:14:57
21;pace forenenst broadly;MOMO;phew;30088.03;PENDING;2023-12-20T12:41:49
22;how;STRIPE;finally clamp;4224.22;FAILED;2023-12-20T16:30:21
23;needily;MOMO;with surprise;8834.2;FAILED;2023-12-20T19:18:12
24;swordfish creaking excluding;MOMO;uh-huh fathom;1384.6;SUCCESS;2023-12-20T13:12:16
25;upbeat;VNPAY;uh-huh;15435.87;SUCCESS;2023-12-21T00:58:51
26;er for;VNPAY;strict elastic;31673.17;FAILED;2023-12-20T14:41:32
27;notwithstanding between;STRIPE;describe;18917.27;FAILED;2023-12-20T20:57:07
28;even restfully;STRIPE;holster fooey blah;18802.67;SUCCESS;2023-12-20T22:03:27
29;scorn;VNPAY;eek consequently;23285.22;FAILED;2023-12-20T14:33:58
30;joyous;VNPAY;bah randomize;20621.76;SUCCESS;2023-12-20T12:53:31
