id;user_id;status;starts_at;expires_at;created_at
1;roger achieve disk;EXPIRED;2023-12-21T01:22:28;2023-12-20T12:29:46;2023-12-20T08:45:05
2;swordfish convalesce hidden;ACTIVE;2023-12-20T17:54:16;2023-12-20T04:16:03;2023-12-20T20:31:04
3;inasmuch;TRIAL;2023-12-20T23:46:08;2023-12-21T01:39:20;2023-12-20T10:01:25
4;tempting um;EXPIRED;2023-12-20T20:13:58;2023-12-20T08:42:23;2023-12-20T21:48:13
5;carefully whoa gee;ACTIVE;2023-12-20T05:06:07;2023-12-20T05:19:23;2023-12-20T20:20:34
6;deeply carelessly while;CANCELLED;2023-12-20T20:34:39;2023-12-20T17:39:33;2023-12-20T04:40:36
7;reclassify;EXPIRED;2023-12-20T08:22:42;2023-12-20T22:48:16;2023-12-20T03:19:26
8;large;EXPIRED;2023-12-20T05:17:52;2023-12-20T22:46:49;2023-12-20T18:18:29
9;fathom;CANCELLED;2023-12-20T11:59:21;2023-12-20T15:55:31;2023-12-20T04:13:34
10;for out whereas;ACTIVE;2023-12-20T21:49:13;2023-12-21T00:52:56;2023-12-20T15:42:10
11;unlike atop phooey;ACTIVE;2023-12-20T07:38:16;2023-12-20T02:45:30;2023-12-21T00:00:58
12;round;ACTIVE;2023-12-21T01:50:02;2023-12-20T03:52:32;2023-12-20T10:01:49
13;with oh yuck;CANCELLED;2023-12-20T10:07:39;2023-12-20T13:43:43;2023-12-20T18:49:56
14;excited pronoun through;EXPIRED;2023-12-20T03:54:24;2023-12-20T10:59:02;2023-12-20T18:58:55
15;what;ACTIVE;2023-12-20T20:16:19;2023-12-20T03:23:51;2023-12-20T10:31:29
16;upwardly habit ick;EXPIRED;2023-12-21T00:03:41;2023-12-20T15:20:07;2023-12-20T14:07:37
17;only;EXPIRED;2023-12-20T15:41:41;2023-12-20T15:37:25;2023-12-20T12:46:07
18;intelligent;EXPIRED;2023-12-21T00:19:27;2023-12-20T07:23:09;2023-12-20T08:45:48
19;fundraising wrathful;EXPIRED;2023-12-20T04:40:25;2023-12-20T14:00:05;2023-12-20T18:20:27
20;ouch ick which;EXPIRED;2023-12-20T06:30:34;2023-12-20T07:49:50;2023-12-20T13:08:58
21;unethically an enormously;ACTIVE;2023-12-20T18:56:19;2023-12-20T07:07:47;2023-12-20T06:34:03
22;pish;ACTIVE;2023-12-20T20:11:19;2023-12-20T15:50:21;2023-12-20T10:14:41
23;horde stupendous yowza;CANCELLED;2023-12-20T05:57:53;2023-12-20T06:36:27;2023-12-20T18:55:36
24;total although;ACTIVE;2023-12-20T03:31:18;2023-12-20T09:44:11;2023-12-20T16:47:19
25;nor;ACTIVE;2023-12-20T15:53:45;2023-12-21T00:01:52;2023-12-21T00:39:25
26;who;TRIAL;2023-12-20T10:10:05;2023-12-21T00:36:06;2023-12-20T14:45:18
27;depend;EXPIRED;2023-12-20T15:44:36;2023-12-20T05:15:08;2023-12-20T05:19:40
28;worth generally;EXPIRED;2023-12-20T20:30:08;2023-12-20T14:42:07;2023-12-21T00:35:21
29;ah inconsequential outdo;EXPIRED;2023-12-20T10:08:39;2023-12-20T09:54:41;2023-12-20T08:54:31
30;sit;TRIAL;2023-12-20T17:59:00;2023-12-20T08:27:27;2023-12-20T12:32:49
