id;order_code;gateway;gateway_trans_id;amount;status;created_at
1;till;VNPAY;dependency;23854.35;SUCCESS;2026-09-10T02:14:03
2;except both mature;VNPAY;through bloom;6533.79;SUCCESS;2026-09-09T12:44:59
3;after yet supposing;MOMO;beside than furthermore;19651.08;SUCCESS;2026-09-09T18:06:38
4;cavernous overreact;MOMO;lest near second-hand;26697.58;FAILED;2026-09-10T02:03:28
5;beautifully tackle where;VNPAY;aside;25855.49;PENDING;2026-09-09T22:42:08
6;at;VNPAY;worth;32432.62;PENDING;2026-09-09T22:25:03
7;ack wherever;STRIPE;until drat if;14654.47;PENDING;2026-09-10T01:21:23
8;carefully whopping;VNPAY;zowie easily smoothly;4438.14;FAILED;2026-09-10T00:37:28
9;govern what;STRIPE;near astride;5230.41;SUCCESS;2026-09-09T06:53:34
10;zowie worthwhile pneumonia;VNPAY;little eek;16556.2;PENDING;2026-09-09T23:04:35
11;warm likewise;VNPAY;perfectly;31933.25;SUCCESS;2026-09-09T18:54:43
12;next;VNPAY;but kiss next;17357.56;PENDING;2026-09-09T21:23:17
13;once;VNPAY;innovate after ugh;2425.59;FAILED;2026-09-09T14:22:53
14;lovingly;MOMO;likely;20634.41;PENDING;2026-09-09T07:21:15
15;yuck allegation;MOMO;of sardonic;8443.4;FAILED;2026-09-10T03:11:13
16;devoted forenenst;VNPAY;during;7406.48;SUCCESS;2026-09-09T11:16:08
17;strictly;STRIPE;deserted;7673.38;FAILED;2026-09-09T16:20:25
18;fork;STRIPE;sometimes instead;17187.95;SUCCESS;2026-09-09T13:11:47
19;aw drat although;STRIPE;accept;15941.65;FAILED;2026-09-09T20:35:57
20;damp apologise tepid;VNPAY;gah on;17277.86;SUCCESS;2026-09-09T07:36:54
21;pace forenenst broadly;MOMO;phew;30088.03;PENDING;2026-09-09T14:03:46
22;how;STRIPE;finally clamp;4224.22;FAILED;2026-09-09T17:52:18
23;needily;MOMO;with surprise;8834.2;FAILED;2026-09-09T20:40:09
24;swordfish creaking excluding;MOMO;uh-huh fathom;1384.6;SUCCESS;2026-09-09T14:34:13
25;upbeat;VNPAY;uh-huh;15435.87;SUCCESS;2026-09-10T02:20:48
26;er for;VNPAY;strict elastic;31673.17;FAILED;2026-09-09T16:03:29
27;notwithstanding between;STRIPE;describe;18917.27;FAILED;2026-09-09T22:19:04
28;even restfully;STRIPE;holster fooey blah;18802.67;SUCCESS;2026-09-09T23:25:24
29;scorn;VNPAY;eek consequently;23285.22;FAILED;2026-09-09T15:55:55
30;joyous;VNPAY;bah randomize;20621.76;SUCCESS;2026-09-09T14:15:28
