id;code;name;price;duration_days;features;is_active
1;mature govern whopping;whenever for cruelly;32477.82;5073;pleasure;false
2;ill-fated;management doubtfully;15316.21;7589;far-off corny;false
3;failing;bid cute;4891.94;1829;defendant shark culminate;false
4;minority;inasmuch um annual;14950.37;6166;scary;false
5;sizzling painfully bicycle;maroon via;15688.92;10754;provided;true
6;after um next;abaft ouch uh-huh;18904.12;12035;until;true
7;excepting even outside;showy;23711.4;8027;beautifully judgementally throughout;false
8;pace near;modulo;13845.6;2185;as ah;true
9;once;yet;9236.26;17052;nun yuck reluctantly;true
10;than;atop challenge irritably;18698.86;26958;yippee transcend fleck;true
11;frilly shirk;psst grass willfully;12704.14;12331;monthly;true
12;after;if CD scaly;21275.33;9831;because up besides;true
13;nor knitting monasticism;planula jive;23777.99;3542;premeditation paralyse;true
14;uh-huh;hastily blah minor;6893.93;30362;thunderbolt proliferate cross;false
15;but haircut yuck;lucky elegantly kiss;25861.23;20778;abaft blah;true
16;bar salty seldom;boohoo frankly stark;13679.33;5832;even off;true
17;unless;woot bravely lest;25277.44;21647;triumphantly;false
18;aside french;joint courtroom impossible;21003.24;7972;whoever always;false
19;yummy;insecure where;12008.07;20888;consign following ha;false
20;beyond;who;25359.55;16440;gosh;true
21;excepting;while;19320.07;13215;horn list chapel;false
22;pfft;apud likewise;2082.63;50;wonderfully following lighthearted;true
23;hateful;aggravating;12570.3;16682;psst tarragon concerned;false
24;before daintily amongst;partially modulo around;3498.17;12559;summary;false
25;atomize typify;blaring closely;16605.85;19444;afterwards gee;true
26;best march;closely designation ha;14959.26;20256;season;true
27;stormy;of;19575.66;3801;rise hefty lest;false
28;forenenst decryption;zebra;26793.42;13699;barring whereas for;false
29;cooperative;tough self-reliant hole;17935.37;2119;impure roadway;false
30;crossly doing;whoa why;16168.33;9943;often;false
