id;user_id;status;starts_at;expires_at;created_at
1;roger achieve disk;EXPIRED;2026-09-10T02:45:24;2026-09-09T13:52:42;2026-09-09T10:08:01
2;swordfish convalesce hidden;ACTIVE;2026-09-09T19:17:12;2026-09-09T05:38:59;2026-09-09T21:54:00
3;inasmuch;TRIAL;2026-09-10T01:09:04;2026-09-10T03:02:16;2026-09-09T11:24:21
4;tempting um;EXPIRED;2026-09-09T21:36:54;2026-09-09T10:05:19;2026-09-09T23:11:09
5;carefully whoa gee;ACTIVE;2026-09-09T06:29:03;2026-09-09T06:42:19;2026-09-09T21:43:30
6;deeply carelessly while;CANCELLED;2026-09-09T21:57:35;2026-09-09T19:02:29;2026-09-09T06:03:32
7;reclassify;EXPIRED;2026-09-09T09:45:38;2026-09-10T00:11:12;2026-09-09T04:42:22
8;large;EXPIRED;2026-09-09T06:40:48;2026-09-10T00:09:45;2026-09-09T19:41:25
9;fathom;CANCELLED;2026-09-09T13:22:17;2026-09-09T17:18:27;2026-09-09T05:36:30
10;for out whereas;ACTIVE;2026-09-09T23:12:09;2026-09-10T02:15:52;2026-09-09T17:05:06
11;unlike atop phooey;ACTIVE;2026-09-09T09:01:12;2026-09-09T04:08:26;2026-09-10T01:23:54
12;round;ACTIVE;2026-09-10T03:12:58;2026-09-09T05:15:28;2026-09-09T11:24:45
13;with oh yuck;CANCELLED;2026-09-09T11:30:35;2026-09-09T15:06:39;2026-09-09T20:12:52
14;excited pronoun through;EXPIRED;2026-09-09T05:17:20;2026-09-09T12:21:58;2026-09-09T20:21:51
15;what;ACTIVE;2026-09-09T21:39:15;2026-09-09T04:46:47;2026-09-09T11:54:25
16;upwardly habit ick;EXPIRED;2026-09-10T01:26:37;2026-09-09T16:43:03;2026-09-09T15:30:33
17;only;EXPIRED;2026-09-09T17:04:37;2026-09-09T17:00:21;2026-09-09T14:09:03
18;intelligent;EXPIRED;2026-09-10T01:42:23;2026-09-09T08:46:05;2026-09-09T10:08:44
19;fundraising wrathful;EXPIRED;2026-09-09T06:03:21;2026-09-09T15:23:01;2026-09-09T19:43:23
20;ouch ick which;EXPIRED;2026-09-09T07:53:30;2026-09-09T09:12:46;2026-09-09T14:31:54
21;unethically an enormously;ACTIVE;2026-09-09T20:19:15;2026-09-09T08:30:43;2026-09-09T07:56:59
22;pish;ACTIVE;2026-09-09T21:34:15;2026-09-09T17:13:17;2026-09-09T11:37:37
23;horde stupendous yowza;CANCELLED;2026-09-09T07:20:49;2026-09-09T07:59:23;2026-09-09T20:18:32
24;total although;ACTIVE;2026-09-09T04:54:14;2026-09-09T11:07:07;2026-09-09T18:10:15
25;nor;ACTIVE;2026-09-09T17:16:41;2026-09-10T01:24:48;2026-09-10T02:02:21
26;who;TRIAL;2026-09-09T11:33:01;2026-09-10T01:59:02;2026-09-09T16:08:14
27;depend;EXPIRED;2026-09-09T17:07:32;2026-09-09T06:38:04;2026-09-09T06:42:36
28;worth generally;EXPIRED;2026-09-09T21:53:04;2026-09-09T16:05:03;2026-09-10T01:58:17
29;ah inconsequential outdo;EXPIRED;2026-09-09T11:31:35;2026-09-09T11:17:37;2026-09-09T10:17:27
30;sit;TRIAL;2026-09-09T19:21:56;2026-09-09T09:50:23;2026-09-09T13:55:45
